correlation_dim_pub,dim,gen_s,kaplan_yorke_dim,lyap_max,lyap_time_per_step,multiscale_entropy,ok,period,range,reason,system
1.8926529653780282,3,0.02,2.3501297618370773,0.13489555530106362,0.0034852964623135804,0.514512246123007,True,2.5837,2.9848009598168264,,Aizawa
1.934087922565906,3,0.02,2.0916403758729327,0.10107726791527546,0.006887405035746871,0.7612343892027325,True,6.814,9.064466770306602,,AnishchenkoAstakhov
1.9333366595280337,3,0.01,2.198607392233255,0.23737468667051287,0.007510772460941699,0.7388404221540498,True,3.1641,19.012311167881393,,Arneodo
1.9304327374472745,3,0.02,2.612281260580053,0.3667300080060703,0.010454739068237053,1.2759526834024162,True,2.8508,90.68621527831142,,ArnoldBeltramiChildress
2.271925873318733,5,0.01,22.554733912627043,0.06514413995171335,0.043809434117527225,0.620621428966386,True,67.25,13449.99999999836,,ArnoldWeb
1.0906156314277713,3,0.01,2.1859596374283137,0.010543274932274862,0.009446243756068489,0.4278776303819699,True,89.59496756697331,1.259522581436946,,AtmosphericRegime
1.4274264497038096,3,0.01,2.0303797735862443,0.038767800131815223,0.07039457147935009,0.5244807630539362,True,181.58,6.4179224164114546,,BeerRNN
0.8599643745060099,3,0.02,2.0206505961796535,132.08766434104578,0.05053277774695388,0.8764191281600929,True,0.038257,1.450051619077013,,BelousovZhabotinsky
2.0025138386006334,3,0.01,4.066710025133773,3.0318672544949706e-06,0.0029659717420256007,0.733566708397195,False,97826.57,19565313.99999867,slow_or_degenerate,BickleyJet
1.6871652299106432,3,0.02,2.016657959617314,0.12597339364128174,0.008319030969282963,0.5917316835585642,True,6.6038,11.019372668349284,,Blasius
2.0693373122119807,3,0.02,2.910902586026695,2.120338159738003,0.06259370768681569,1.2895030395332947,True,2.9520625,590.4124999994382,,BlinkingRotlet
2.212155663068541,3,0.02,2.8911482753116986,2.863016777441748,0.07906698000368294,1.1011364489263011,True,2.7616666666666667,902.8406402336421,,BlinkingVortex
1.7283783962483246,3,0.19,2.224727237508172,0.06012563518102038,0.0018284806914900108,0.7505556173926505,True,3.0411,12.276008242953196,,Bouali
1.925056080468132,3,0.01,16.471858210544983,0.07681730213975516,0.0058979556409882615,0.4520009826326611,True,7.6779,6.648970657190992,,Bouali2
2.0538157998881426,3,0.01,2.2113447891991065,2.324596351534631,0.018209260600476222,0.906432166797223,True,0.78333,12.60781100946555,,BurkeShaw
1.2267327876216785,3,0.0,2.0647813731079956,0.5802865327706731,0.007793248135110139,0.5770296569860646,True,1.343,0.6467910404400284,,CaTwoPlus
1.8508709631136986,3,0.02,4.547800407390443,0.48083152954373326,0.003154927997948251,0.8512706770213926,True,0.65614,0.7488377456704467,,CaTwoPlusQuasiperiodic
1.7558665560565607,6,0.01,2.020810681242375,0.010172128409635746,0.020823364067365336,1.021736994304444,True,204.71,0.9384252506771708,,CellCycle
1.7777777253372764,3,0.01,2.167668286708633,2.3258468977096562,0.074427100726709,1.2414841874061011,True,3.2,3.372995263267672,,CellularNeuralNetwork
